"Potential,V","Current,A"
0.2,-8.849768671013453e-11
0.19499999999999995,-6.328143708672203e-11
0.19,-6.582051951128984e-11
0.185,-7.44375686063966e-11
0.18,-8.698148790443118e-11
0.175,-1.0325927969708098e-10
0.16999999999999998,-1.2364135389369464e-10
0.16499999999999998,-1.4879382152265494e-10
0.16000000000000003,-1.7962059965407713e-10
0.15499999999999997,-2.1726722307278424e-10
0.15000000000000002,-2.631514647178748e-10
0.14499999999999996,-3.190110662987569e-10
0.14,-3.8696713912230335e-10
0.135,-4.696028116119068e-10
0.13,-5.700609351914118e-10
0.125,-6.921626696665663e-10
0.12,-8.405529197249881e-10
0.11499999999999999,-1.0208763071718542e-09
0.11000000000000004,-1.239992022229938e-09
0.10499999999999998,-1.5062343725634283e-09
0.10000000000000003,-1.829729618006014e-09
0.09499999999999997,-2.2227808648275383e-09
0.09000000000000002,-2.7003355886003742e-09
0.08500000000000002,-3.280553700528496e-09
0.07999999999999996,-3.985497375552156e-09
0.07500000000000001,-4.841969281587059e-09
0.07000000000000003,-5.882530126801059e-09
0.065,-7.146734869863876e-09
0.05999999999999997,-8.682633290893593e-09
0.05499999999999999,-1.054859252171381e-08
0.05000000000000002,-1.2815509171440778e-08
0.04500000000000001,-1.5569493972463697e-08
0.03999999999999998,-1.8915130422023167e-08
0.035,-2.297942693651151e-08
0.030000000000000027,-2.7916610792573737e-08
0.025000000000000022,-3.3913939022558266e-08
0.020000000000000018,-4.1198740014467535e-08
0.015000000000000013,-5.004694077497859e-08
0.010000000000000009,-6.07933855093543e-08
0.0050000000000000044,-7.384431258235286e-08
0.0,-8.96924232473526e-08
-0.004999999999999977,-1.0893505862538061e-07
-0.010000000000000009,-1.3229608984654597e-07
-0.014999999999999986,-1.6065222960506857e-07
-0.020000000000000018,-1.9506458061416053e-07
-0.024999999999999994,-2.3681635274539492e-07
-0.03,-2.8745778723698423e-07
-0.034999999999999976,-3.488594218166227e-07
-0.04000000000000001,-4.232748825927072e-07
-0.044999999999999984,-5.134143709917038e-07
-0.04999999999999999,-6.225298763756799e-07
-0.05499999999999998,-7.545128094197459e-07
-0.06,-9.140041213443095e-07
-0.06499999999999997,-1.1065159007299374e-06
-0.06999999999999999,-1.3385617290908432e-06
-0.07499999999999997,-1.617790485885361e-06
-0.07999999999999999,-1.95311451229277e-06
-0.08499999999999996,-2.354817747782673e-06
-0.09,-2.834622323557085e-06
-0.09499999999999997,-3.405682970614418e-06
-0.09999999999999999,-4.08246764175181e-06
-0.10499999999999997,-4.880470805104922e-06
-0.10999999999999999,-5.815694914193794e-06
-0.11499999999999996,-6.9038292689970846e-06
-0.12,-8.159059708875311e-06
-0.125,-9.592465401190936e-06
-0.12999999999999998,-1.1210009723729806e-05
-0.135,-1.3010218490877496e-05
-0.13999999999999999,-1.4981761086151082e-05
-0.14500000000000002,-1.710129446053194e-05
-0.14999999999999997,-1.933206122468366e-05
-0.155,-2.1623794296056187e-05
-0.15999999999999998,-2.3914406091655378e-05
-0.165,-2.613368505372343e-05
-0.16999999999999998,-2.820880029899262e-05
-0.175,-3.0070924011434988e-05
-0.17999999999999997,-3.1661886739787264e-05
-0.185,-3.2939651559201806e-05
-0.18999999999999997,-3.3881612253786376e-05
-0.195,-3.448522992958247e-05
-0.19999999999999998,-3.476614178601786e-05
-0.205,-3.4754391404305125e-05
-0.20999999999999996,-3.448969484748512e-05
-0.21499999999999994,-3.401664305094022e-05
-0.22000000000000003,-3.3380523275048186e-05
-0.22499999999999998,-3.2624140066539765e-05
-0.22999999999999998,-3.178573433105536e-05
-0.23499999999999993,-3.0897897790090594e-05
-0.24,-2.9987273138446915e-05
-0.245,-2.9074801371160108e-05
-0.24999999999999994,-2.8176299163106992e-05
-0.25499999999999995,-2.7303194565345364e-05
-0.26,-2.6463299746417998e-05
-0.265,-2.566154435750386e-05
-0.26999999999999996,-2.490062796883409e-05
-0.2749999999999999,-2.4181574498606915e-05
-0.28,-2.3504187160970184e-05
-0.285,-2.2867411356470066e-05
-0.2899999999999999,-2.2269617187666798e-05
-0.29500000000000004,-2.17088145871397e-05
-0.3,-2.1182813632182233e-05
-0.30499999999999994,-2.068934132825476e-05
-0.30999999999999994,-2.0226124502400915e-05
-0.31500000000000006,-1.979094676946336e-05
-0.32,-1.9381685983023653e-05
-0.32499999999999996,-1.8996337232791136e-05
-0.32999999999999996,-1.8633025319700397e-05
-0.335,-1.829000971974739e-05
-0.33999999999999997,-1.79656843138236e-05
-0.345,-1.765857358510708e-05
-0.35,-1.7367326539812264e-05
-0.355,-1.7090709265905106e-05
-0.36,-1.682759678567006e-05
-0.365,-1.657696466372162e-05
-0.36999999999999994,-1.6337880687489094e-05
-0.375,-1.610949683061236e-05
-0.38,-1.5891041631970946e-05
-0.38499999999999995,-1.568181306708826e-05
-0.3899999999999999,-1.5481171948898767e-05
-0.395,-1.5288535867257533e-05
-0.4,-1.5103373657804946e-05
-0.40499999999999997,-1.492520037857402e-05
-0.4099999999999999,-1.4753572765233096e-05
-0.41500000000000004,-1.4588085131676588e-05
-0.42,-1.442836568091181e-05
-0.42499999999999993,-1.4274073191047233e-05
-0.42999999999999994,-1.4124894042105655e-05
-0.435,-1.3980539551041815e-05
-0.44,-1.384074358440749e-05
-0.44499999999999995,-1.3705260420342768e-05
-0.45,-1.3573862833965285e-05
-0.455,-1.3446340382511937e-05
-0.45999999999999996,-1.3322497868854522e-05
-0.46499999999999997,-1.320215396412452e-05
-0.47000000000000003,-1.308513997215656e-05
-0.475,-1.297129872027309e-05
-0.48,-1.2860483562605813e-05
-0.48499999999999993,-1.2752557483650686e-05
-0.49,-1.264739229110617e-05
-0.495,-1.2544867888277542e-05
-0.49999999999999994,-1.244487161741276e-05
-0.5049999999999999,-1.2347297666304437e-05
-0.51,-1.2252046531380044e-05
-0.5149999999999999,-1.2159024531241513e-05
-0.52,-1.2068143365325522e-05
-0.5249999999999999,-1.1979319712942088e-05
-0.53,-1.189247486848998e-05
-0.5349999999999999,-1.1807534409125216e-05
-0.54,-1.1724427891563383e-05
-0.5449999999999999,-1.1643088575081387e-05
-0.55,-1.15634531680942e-05
-0.5549999999999999,-1.14854615959888e-05
-0.5599999999999999,-1.1409056788129822e-05
-0.565,-1.133418448219898e-05
-0.5700000000000001,-1.1260793044210117e-05
-0.575,-1.118883330273292e-05
-0.58,-1.1118258396000603e-05
-0.585,-1.1049023630723138e-05
-0.5900000000000001,-1.0981086351555049e-05
-0.595,-1.0914405820255168e-05
-0.6,-1.0848943103698086e-05
-0.595,-1.0784656893229182e-05
-0.59,-1.0721517521166556e-05
-0.585,-1.0659489263535677e-05
-0.5800000000000001,-1.0598539111359102e-05
-0.575,-1.0538635566254663e-05
-0.5700000000000001,-1.0479748449793462e-05
-0.565,-1.0421848802779759e-05
-0.56,-1.0364908807119682e-05
-0.5549999999999999,-1.030890171705288e-05
-0.55,-1.0253801795653073e-05
-0.5449999999999999,-1.0199584254809385e-05
-0.54,-1.0146225197636647e-05
-0.5349999999999999,-1.0093701562517512e-05
-0.53,-1.0041991068064937e-05
-0.5249999999999999,-9.99107215828207e-06
-0.52,-9.940923947170834e-06
-0.5149999999999999,-9.891526161930612e-06
-0.51,-9.842859083794669e-06
-0.505,-9.794903485388534e-06
-0.5,-9.747640563304973e-06
-0.495,-9.701051864356294e-06
-0.49,-9.655119203661288e-06
-0.485,-9.609824572379676e-06
-0.48000000000000004,-9.565150032448924e-06
