WE(1).Potential (V)	WE(1).Current (A)	Column 3 (V/s)
0.097747802734375	-1.31683349609375E-07	0.4
0.095550537109375	-2.2869873046875E-07	
0.093048095703125	-3.145751953125E-07	
0.090484619140625	-3.524169921875E-07	
0.0880126953125	-3.939208984375E-07	
0.085723876953125	-4.1680908203125E-07	
0.0833740234375	-4.45831298828125E-07	
0.080657958984375	-4.63836669921875E-07	
0.078399658203125	-4.74578857421875E-07	
0.075958251953125	-4.89898681640625E-07	
0.07354736328125	-5.0616455078125E-07	
0.07086181640625	-5.25390625E-07	
0.0687255859375	-5.4608154296875E-07	
0.066162109375	-5.40557861328125E-07	
0.0634765625	-5.65277099609375E-07	
0.0611572265625	-5.850830078125E-07	
0.0589599609375	-5.89385986328125E-07	
0.056365966796875	-6.1114501953125E-07	
0.053955078125	-6.1370849609375E-07	
0.051483154296875	-6.1474609375E-07	
0.04893798828125	-6.06292724609375E-07	
0.0464141845703125	-6.38946533203125E-07	
0.0440704345703125	-6.6815185546875E-07	
0.0417510986328125	-6.72454833984375E-07	
0.0392730712890625	-6.6851806640625E-07	
0.036749267578125	-6.9354248046875E-07	
0.0344512939453125	-7.07855224609375E-07	
0.0318084716796875	-7.110595703125E-07	
0.0294464111328125	-7.381591796875E-07	
0.027105712890625	-6.9183349609375E-07	
0.024688720703125	-7.3822021484375E-07	
0.0222320556640625	-7.6324462890625E-07	
0.0198486328125	-7.8765869140625E-07	
0.017291259765625	-7.794189453125E-07	
0.0148895263671875	-8.2244873046875E-07	
0.0124114990234375	-8.148193359375E-07	
0.0099822998046875	-8.3587646484375E-07	
0.00754394531249999	-8.4259033203125E-07	
0.005169677734375	-8.5479736328125E-07	
0.00293884277343751	-8.5479736328125E-07	
0.000225830078125003	-8.6517333984375E-07	
-0.00209655761718749	-8.612060546875E-07	
-0.00440368652343751	-9.136962890625E-07	
-0.00696716308593751	-9.3536376953125E-07	
-0.00937805175781251	-9.38720703125E-07	
-0.01187744140625	-9.4390869140625E-07	
-0.0143829345703125	-9.5611572265625E-07	
-0.0166900634765625	-9.82666015625E-07	
-0.0192230224609375	-1.0089111328125E-06	
-0.021539306640625	-1.00799560546875E-06	
-0.0240753173828125	-1.03607177734375E-06	
-0.026507568359375	-1.05224609375E-06	
-0.0289642333984375	-1.07940673828125E-06	
-0.031402587890625	-1.092529296875E-06	
-0.033770751953125	-1.11846923828125E-06	
-0.0363433837890625	-1.1517333984375E-06	
-0.0385345458984375	-1.171875E-06	
-0.041015625	-1.17828369140625E-06	
-0.04345703125	-1.20849609375E-06	
-0.04578857421875	-1.2091064453125E-06	
-0.048358154296875	-1.28448486328125E-06	
-0.05108642578125	-1.358642578125E-06	
-0.05322265625	-1.37847900390625E-06	
-0.05596923828125	-1.3897705078125E-06	
-0.0582275390625	-1.4501953125E-06	
-0.06060791015625	-1.4947509765625E-06	
-0.0628662109375	-1.51824951171875E-06	
-0.065399169921875	-1.57928466796875E-06	
-0.0679931640625	-1.636962890625E-06	
-0.070404052734375	-1.67633056640625E-06	
-0.07269287109375	-1.741943359375E-06	
-0.07550048828125	-1.8109130859375E-06	
-0.07769775390625	-1.893310546875E-06	
-0.08013916015625	-1.97021484375E-06	
-0.082550048828125	-2.0465087890625E-06	
-0.08526611328125	-2.15728759765625E-06	
-0.087493896484375	-2.27935791015625E-06	
-0.089935302734375	-2.3553466796875E-06	
-0.092193603515625	-2.4822998046875E-06	
-0.0947265625	-2.593994140625E-06	
-0.097320556640625	-2.77069091796875E-06	
-0.099761962890625	-2.90435791015625E-06	
-0.10205078125	-3.05023193359375E-06	
-0.104644775390625	-3.23333740234375E-06	
-0.107086181640625	-3.43292236328125E-06	
-0.109344482421875	-3.62701416015625E-06	
-0.111846923828125	-3.84490966796875E-06	
