"Potential, V","Current, A"
-0.056,-1.60448e-07
-0.057,-1.67504e-07
-0.058,-1.74461e-07
-0.059,-1.81118e-07
-0.06,-1.88675e-07
-0.061,-1.95432e-07
-0.062,-2.03488e-07
-0.063,-2.11745e-07
-0.064,-2.20202e-07
-0.065,-2.28959e-07
-0.066,-2.37715e-07
-0.067,-2.46772e-07
-0.068,-2.56929e-07
-0.069,-2.66186e-07
-0.07,-2.76942e-07
-0.071,-2.87699e-07
-0.072,-2.98356e-07
-0.073,-3.10113e-07
-0.074,-3.21569e-07
-0.075,-3.33826e-07
-0.076,-3.47583e-07
-0.077,-3.6014e-07
-0.078,-3.73596e-07
-0.079,-3.87853e-07
-0.08,-4.0231e-07
-0.081,-4.18267e-07
-0.082,-4.33423e-07
-0.083,-4.4978e-07
-0.084,-4.67337e-07
-0.085,-4.84194e-07
-0.086,-5.0285e-07
-0.087,-5.21607e-07
-0.088,-5.40564e-07
-0.089,-5.61821e-07
-0.09,-5.82277e-07
-0.091,-6.03934e-07
-0.092,-6.26991e-07
-0.093,-6.49248e-07
-0.094,-6.74104e-07
-0.095,-6.98861e-07
-0.096,-7.24518e-07
-0.097,-7.51775e-07
-0.098,-7.77832e-07
-0.099,-8.06688e-07
-0.1,-8.37245e-07
-0.101,-8.65802e-07
-0.102,-8.99759e-07
-0.103,-9.32715e-07
-0.104,-9.63672e-07
-0.105,-9.99629e-07
-0.106,-1.03459e-06
-0.107,-1.07254e-06
-0.108,-1.1115e-06
-0.109,-1.15046e-06
-0.11,-1.19141e-06
-0.111,-1.23337e-06
-0.112,-1.27633e-06
-0.113,-1.32228e-06
-0.114,-1.36724e-06
-0.115,-1.4162e-06
-0.116,-1.46615e-06
-0.117,-1.51511e-06
-0.118,-1.56807e-06
-0.119,-1.62102e-06
-0.12,-1.67498e-06
-0.121,-1.73494e-06
-0.122,-1.79189e-06
-0.123,-1.85285e-06
-0.124,-1.91481e-06
-0.125,-1.97676e-06
-0.126,-2.04272e-06
-0.127,-2.10968e-06
-0.128,-2.17863e-06
-0.129,-2.25059e-06
-0.13,-2.32055e-06
-0.131,-2.3955e-06
-0.132,-2.47246e-06
-0.133,-2.54742e-06
-0.134,-2.62937e-06
-0.135,-2.71133e-06
