"Potential, V","Current, A"
0.2,3.15103e-07
0.199,2.49684e-07
0.198,2.33164e-07
0.197,2.25225e-07
0.196,2.18766e-07
0.195,2.13616e-07
0.194,2.08647e-07
0.193,2.04528e-07
0.192,2.00308e-07
0.191,1.96599e-07
0.19,1.93753e-07
0.189,1.90182e-07
0.188,1.87084e-07
0.187,1.84545e-07
0.186,1.81132e-07
0.185,1.78877e-07
0.184,1.76424e-07
0.183,1.73555e-07
0.182,1.71905e-07
0.181,1.69136e-07
0.18,1.66957e-07
0.179,1.65097e-07
0.178,1.62578e-07
0.177,1.60919e-07
0.176,1.59239e-07
0.175,1.5689e-07
0.174,1.55681e-07
0.173,1.53301e-07
0.172,1.51632e-07
0.171,1.50423e-07
0.17,1.48313e-07
0.169,1.46964e-07
0.168,1.45305e-07
0.167,1.43275e-07
0.166,1.42096e-07
0.165,1.40387e-07
0.164,1.38908e-07
0.163,1.37958e-07
0.162,1.35859e-07
0.161,1.349e-07
0.16,1.3338e-07
0.159,1.31711e-07
0.158,1.31022e-07
0.157,1.29482e-07
0.156,1.28023e-07
0.155,1.27294e-07
0.154,1.25704e-07
0.153,1.24975e-07
0.152,1.23586e-07
0.151,1.21986e-07
0.15,1.21437e-07
0.149,1.19908e-07
0.148,1.18738e-07
0.147,1.17739e-07
0.146,1.1645e-07
0.145,1.1548e-07
0.144,1.14421e-07
0.143,1.13002e-07
0.142,1.12463e-07
0.141,1.10993e-07
0.14,1.09844e-07
0.139,1.09445e-07
0.138,1.08035e-07
0.137,1.07156e-07
0.136,1.06407e-07
0.135,1.05027e-07
0.134,1.04438e-07
0.133,1.03479e-07
0.132,1.02479e-07
0.131,1.0183e-07
0.13,1.00791e-07
0.129,9.97814e-08
0.128,9.89121e-08
0.127,9.76427e-08
0.126,9.72734e-08
0.125,9.62041e-08
0.124,9.56348e-08
0.123,9.48655e-08
0.122,9.36962e-08
0.121,9.30268e-08
0.12,9.24575e-08
0.119,9.12882e-08
0.118,9.11189e-08
0.117,9.00496e-08
0.116,8.90802e-08
0.115,8.84109e-08
0.114,8.73416e-08
0.113,8.69723e-08
0.112,8.6103e-08
0.111,8.52337e-08
0.11,8.48643e-08
0.109,8.3695e-08
0.108,8.30257e-08
0.107,8.24564e-08
0.106,8.15871e-08
0.105,8.09177e-08
0.104,8.01484e-08
0.103,7.91791e-08
0.102,7.83098e-08
0.101,7.78405e-08
0.1,7.71711e-08
0.099,7.68018e-08
0.098,7.58325e-08
0.097,7.52632e-08
0.096,7.43939e-08
0.095,7.34246e-08
0.094,7.32552e-08
0.093,7.21859e-08
0.092,7.14166e-08
0.091,7.10473e-08
0.09,6.9978e-08
0.089,6.93086e-08
0.088,6.87393e-08
0.087,6.787e-08
0.086,6.76007e-08
0.085,6.67314e-08
0.084,6.58621e-08
0.083,6.53927e-08
0.082,6.46234e-08
0.081,6.43541e-08
0.08,6.35848e-08
0.079,6.26155e-08
0.078,6.22461e-08
0.077,6.14768e-08
0.076,6.05075e-08
0.075,6.03382e-08
0.074,5.93689e-08
0.073,5.92995e-08
0.072,5.84302e-08
0.071,5.75609e-08
0.07,5.69916e-08
0.069,5.63223e-08
0.068,5.5653e-08
0.067,5.54836e-08
0.066,5.42143e-08
0.065,5.3945e-08
0.064,5.29757e-08
0.063,5.20064e-08
0.062,5.1937e-08
0.061,5.10677e-08
0.06,5.03984e-08
0.059,5.00291e-08
0.058,4.89598e-08
0.057,4.82905e-08
0.056,4.79211e-08
0.055,4.67518e-08
0.054,4.67825e-08
0.053,4.58132e-08
0.052,4.50439e-08
0.051,4.48745e-08
0.05,4.38052e-08
0.049,4.33359e-08
0.048,4.27666e-08
0.047,4.16973e-08
0.046,4.15279e-08
0.045,4.04586e-08
0.044,3.96893e-08
0.043,3.962e-08
0.042,3.85507e-08
0.041,3.81814e-08
0.04,3.7512e-08
0.039,3.64427e-08
0.038,3.59734e-08
0.037,3.52041e-08
0.036,3.44348e-08
0.035,3.41654e-08
0.034,3.28961e-08
0.033,3.23268e-08
0.032,3.13575e-08
0.031,3.03882e-08
0.03,3.00189e-08
0.029,2.92495e-08
0.028,2.82802e-08
0.027,2.78109e-08
0.026,2.64416e-08
0.025,2.55723e-08
0.024,2.49029e-08
0.023,2.38336e-08
0.022,2.33643e-08
0.021,2.2295e-08
0.02,2.12257e-08
0.019,2.03563e-08
0.018,1.90832e-08
0.017,1.84981e-08
0.016,1.7413e-08
0.015,1.5928e-08
0.014,1.52429e-08
0.013,1.37578e-08
0.012,1.23728e-08
0.011,1.16877e-08
0.01,1.02027e-08
0.009,9.11759e-09
0.008,8.03253e-09
0.007,6.14747e-09
0.006,5.2624e-09
0.005,3.67734e-09
0.004,2.19228e-09
0.003,1.40721e-09
0.002,-6.7785e-10
0.001,-1.76291e-09
0.0,-5.34798e-09
-0.001,-6.33304e-09
-0.002,-6.6181e-09
-0.003,-8.50317e-09
-0.004,-1.01882e-08
-0.005,-1.16733e-08
-0.006,-1.38584e-08
-0.007,-1.54434e-08
-0.008,-1.72285e-08
-0.009,-1.93135e-08
-0.01,-2.06986e-08
-0.011,-2.28837e-08
-0.012,-2.49687e-08
-0.013,-2.73538e-08
-0.014,-2.95389e-08
-0.015,-3.16239e-08
-0.016,-3.3709e-08
-0.017,-3.64941e-08
-0.018,-3.85791e-08
-0.019,-4.12642e-08
-0.02,-4.40492e-08
-0.021,-4.63343e-08
-0.022,-4.93194e-08
-0.023,-5.19044e-08
-0.024,-5.47895e-08
-0.025,-5.83746e-08
-0.026,-6.11596e-08
-0.027,-6.41447e-08
-0.028,-6.78298e-08
-0.029,-7.08148e-08
-0.03,-7.50999e-08
-0.031,-7.82849e-08
-0.032,-8.217e-08
-0.033,-8.64551e-08
-0.034,-8.98401e-08
-0.035,-9.41252e-08
-0.036,-9.85103e-08
-0.037,-1.02895e-07
-0.038,-1.0808e-07
-0.039,-1.12765e-07
-0.04,-1.17451e-07
-0.041,-1.22736e-07
-0.042,-1.27721e-07
-0.043,-1.33406e-07
-0.044,-1.39491e-07
-0.045,-1.44776e-07
-0.046,-1.51261e-07
-0.047,-1.57146e-07
-0.048,-1.63631e-07
-0.049,-1.70816e-07
-0.05,-1.77201e-07
-0.051,-1.84686e-07
-0.052,-1.92471e-07
-0.053,-1.99656e-07
-0.054,-2.07941e-07
-0.055,-2.15826e-07
-0.056,-2.24312e-07
-0.057,-2.33897e-07
-0.058,-2.42882e-07
-0.059,-2.52567e-07
-0.06,-2.62452e-07
-0.061,-2.72037e-07
-0.062,-2.82822e-07
-0.063,-2.93507e-07
-0.064,-3.05692e-07
-0.065,-3.17877e-07
-0.066,-3.29362e-07
-0.067,-3.42147e-07
-0.068,-3.55232e-07
-0.069,-3.68417e-07
-0.07,-3.83802e-07
-0.071,-3.98087e-07
-0.072,-4.12873e-07
-0.073,-4.29258e-07
-0.074,-4.44843e-07
-0.075,-4.62028e-07
-0.076,-4.79513e-07
-0.077,-4.97598e-07
-0.078,-5.16883e-07
-0.079,-5.35968e-07
-0.08,-5.56053e-07
-0.081,-5.77738e-07
-0.082,-5.98623e-07
-0.083,-6.21808e-07
-0.084,-6.45193e-07
-0.085,-6.68078e-07
-0.086,-6.94063e-07
-0.087,-7.18949e-07
-0.088,-7.46034e-07
-0.089,-7.73919e-07
-0.09,-8.02804e-07
-0.091,-8.32689e-07
-0.092,-8.62574e-07
-0.093,-8.94459e-07
-0.094,-9.28344e-07
-0.095,-9.61229e-07
-0.096,-9.97114e-07
-0.097,-1.034e-06
-0.098,-1.07088e-06
-0.099,-1.10977e-06
-0.1,-1.15065e-06
-0.101,-1.19154e-06
-0.102,-1.23642e-06
-0.103,-1.28131e-06
-0.104,-1.32719e-06
-0.105,-1.37408e-06
-0.106,-1.42196e-06
-0.107,-1.47385e-06
-0.108,-1.52573e-06
-0.109,-1.58062e-06
-0.11,-1.6375e-06
-0.111,-1.69439e-06
-0.112,-1.75328e-06
-0.113,-1.81516e-06
-0.114,-1.87805e-06
-0.115,-1.94393e-06
-0.116,-2.01182e-06
-0.117,-2.0807e-06
-0.118,-2.15159e-06
-0.119,-2.22347e-06
-0.12,-2.29936e-06
-0.121,-2.37824e-06
-0.122,-2.45813e-06
-0.123,-2.54101e-06
-0.124,-2.6239e-06
-0.125,-2.71078e-06
-0.126,-2.80067e-06
-0.127,-2.89055e-06
-0.128,-2.98644e-06
-0.129,-3.08332e-06
-0.13,-3.18021e-06
-0.131,-3.28209e-06
-0.132,-3.38498e-06
-0.133,-3.48986e-06
-0.134,-3.60075e-06
-0.135,-3.71163e-06
-0.136,-3.82552e-06
-0.137,-3.9424e-06
-0.138,-4.05729e-06
-0.139,-4.17917e-06
-0.14,-4.30206e-06
-0.141,-4.42894e-06
-0.142,-4.55883e-06
-0.143,-4.68671e-06
-0.144,-4.8196e-06
-0.145,-4.95448e-06
-0.146,-5.09037e-06
-0.147,-5.23225e-06
-0.148,-5.37414e-06
-0.149,-5.51602e-06
-0.15,-5.66291e-06
-0.151,-5.80679e-06
-0.152,-5.95768e-06
-0.153,-6.10856e-06
-0.154,-6.25645e-06
-0.155,-6.41233e-06
-0.156,-6.56622e-06
-0.157,-6.7211e-06
-0.158,-6.88099e-06
-0.159,-7.03487e-06
-0.16,-7.19676e-06
-0.161,-7.35764e-06
-0.162,-7.51453e-06
-0.163,-7.67641e-06
-0.164,-7.8343e-06
-0.165,-7.99518e-06
-0.166,-8.15707e-06
-0.167,-8.31795e-06
-0.168,-8.47684e-06
-0.169,-8.63672e-06
-0.17,-8.79161e-06
-0.171,-8.95049e-06
-0.172,-9.10438e-06
-0.173,-9.26126e-06
-0.174,-9.41515e-06
-0.175,-9.56303e-06
-0.176,-9.71192e-06
-0.177,-9.8618e-06
-0.178,-1.00017e-05
-0.179,-1.01416e-05
-0.18,-1.02815e-05
-0.181,-1.04213e-05
-0.182,-1.05512e-05
-0.183,-1.06811e-05
-0.184,-1.0811e-05
-0.185,-1.09309e-05
-0.186,-1.10508e-05
-0.187,-1.11707e-05
-0.188,-1.12805e-05
-0.189,-1.13904e-05
-0.19,-1.14903e-05
-0.191,-1.15902e-05
-0.192,-1.16901e-05
-0.193,-1.178e-05
-0.194,-1.18699e-05
-0.195,-1.19497e-05
-0.196,-1.20296e-05
-0.197,-1.20995e-05
-0.198,-1.21694e-05
-0.199,-1.22393e-05
-0.2,-1.22992e-05
-0.201,-1.2349e-05
-0.202,-1.23989e-05
-0.203,-1.24488e-05
-0.204,-1.24887e-05
-0.205,-1.25286e-05
-0.206,-1.25685e-05
-0.207,-1.25884e-05
-0.208,-1.26082e-05
-0.209,-1.26281e-05
-0.21,-1.2648e-05
-0.211,-1.26579e-05
-0.212,-1.26678e-05
-0.213,-1.26677e-05
-0.214,-1.26676e-05
-0.215,-1.26674e-05
-0.216,-1.26573e-05
-0.217,-1.26472e-05
-0.218,-1.26271e-05
-0.219,-1.2617e-05
-0.22,-1.25869e-05
-0.221,-1.25667e-05
-0.222,-1.25366e-05
-0.223,-1.25065e-05
-0.224,-1.24764e-05
-0.225,-1.24463e-05
-0.226,-1.24062e-05
-0.227,-1.23661e-05
-0.228,-1.23259e-05
-0.229,-1.22858e-05
-0.23,-1.22357e-05
-0.231,-1.21956e-05
-0.232,-1.21455e-05
-0.233,-1.20954e-05
-0.234,-1.20453e-05
-0.235,-1.19851e-05
-0.236,-1.1935e-05
-0.237,-1.18849e-05
-0.238,-1.18248e-05
-0.239,-1.17647e-05
-0.24,-1.17146e-05
-0.241,-1.16544e-05
-0.242,-1.15943e-05
-0.243,-1.15342e-05
-0.244,-1.14741e-05
-0.245,-1.1414e-05
-0.246,-1.13539e-05
-0.247,-1.12938e-05
-0.248,-1.12336e-05
-0.249,-1.11735e-05
-0.25,-1.11134e-05
-0.251,-1.10533e-05
-0.252,-1.09932e-05
-0.253,-1.09231e-05
-0.254,-1.0873e-05
-0.255,-1.08028e-05
-0.256,-1.07427e-05
-0.257,-1.06826e-05
-0.258,-1.06225e-05
-0.259,-1.05624e-05
-0.26,-1.05023e-05
-0.261,-1.04421e-05
-0.262,-1.0392e-05
-0.263,-1.03319e-05
-0.264,-1.02718e-05
-0.265,-1.02117e-05
-0.266,-1.01616e-05
-0.267,-1.01015e-05
-0.268,-1.00513e-05
-0.269,-9.99123e-06
-0.27,-9.94112e-06
-0.271,-9.881e-06
-0.272,-9.83089e-06
-0.273,-9.77077e-06
-0.274,-9.72166e-06
-0.275,-9.67054e-06
-0.276,-9.61943e-06
-0.277,-9.56731e-06
-0.278,-9.5172e-06
-0.279,-9.46608e-06
-0.28,-9.41797e-06
-0.281,-9.36985e-06
-0.282,-9.32074e-06
-0.283,-9.27362e-06
-0.284,-9.22651e-06
-0.285,-9.17939e-06
-0.286,-9.13528e-06
-0.287,-9.08916e-06
-0.288,-9.04505e-06
-0.289,-9.00193e-06
-0.29,-8.95682e-06
-0.291,-8.9147e-06
-0.292,-8.87159e-06
-0.293,-8.83047e-06
-0.294,-8.79036e-06
-0.295,-8.74924e-06
-0.296,-8.70813e-06
-0.297,-8.66901e-06
-0.298,-8.6289e-06
-0.299,-8.59078e-06
-0.3,-8.55267e-06
-0.301,-8.51555e-06
-0.302,-8.47944e-06
-0.303,-8.44232e-06
-0.304,-8.40621e-06
-0.305,-8.37109e-06
-0.306,-8.33598e-06
-0.307,-8.30186e-06
-0.308,-8.26775e-06
-0.309,-8.23363e-06
-0.31,-8.20152e-06
-0.311,-8.1674e-06
-0.312,-8.13629e-06
-0.313,-8.10417e-06
-0.314,-8.07306e-06
-0.315,-8.04294e-06
-0.316,-8.01183e-06
-0.317,-7.98171e-06
-0.318,-7.9526e-06
