"Potential, V","Current, A"
0.2,1.08694e-07
0.199,9.38877e-08
0.198,8.88508e-08
0.197,8.5724e-08
0.196,8.30972e-08
0.195,8.10003e-08
0.194,7.89335e-08
0.193,7.69967e-08
0.192,7.52899e-08
0.191,7.3713e-08
0.19,7.23762e-08
0.189,7.09894e-08
0.188,6.96526e-08
0.187,6.85957e-08
0.186,6.73389e-08
0.185,6.63421e-08
0.184,6.53652e-08
0.183,6.43584e-08
0.182,6.35716e-08
0.181,6.25048e-08
0.18,6.15979e-08
0.179,6.09011e-08
0.178,5.99543e-08
0.177,5.92074e-08
0.176,5.84606e-08
0.175,5.76138e-08
0.174,5.6927e-08
0.173,5.62301e-08
0.172,5.53733e-08
0.171,5.47365e-08
0.17,5.41297e-08
0.169,5.34928e-08
0.168,5.2816e-08
0.167,5.21392e-08
0.166,5.15723e-08
0.165,5.09755e-08
0.164,5.02987e-08
0.163,4.98819e-08
0.162,4.9265e-08
0.161,4.86482e-08
0.16,4.82314e-08
0.159,4.77145e-08
0.158,4.72777e-08
0.157,4.67909e-08
0.156,4.62941e-08
0.155,4.58072e-08
0.154,4.53004e-08
0.153,4.46936e-08
0.152,4.43768e-08
0.151,4.39099e-08
0.15,4.35431e-08
0.149,4.31863e-08
0.148,4.26094e-08
0.147,4.23226e-08
0.146,4.18858e-08
0.145,4.1479e-08
0.144,4.11521e-08
0.143,4.06953e-08
0.142,4.05185e-08
0.141,3.99616e-08
0.14,3.95848e-08
0.139,3.9308e-08
0.138,3.88512e-08
0.137,3.86143e-08
0.136,3.82975e-08
0.135,3.78107e-08
0.134,3.76139e-08
0.133,3.7227e-08
0.132,3.68062e-08
0.131,3.66244e-08
0.13,3.62295e-08
0.129,3.58127e-08
0.128,3.55359e-08
0.127,3.52521e-08
0.126,3.49212e-08
0.125,3.47004e-08
0.124,3.43066e-08
0.123,3.41867e-08
0.122,3.37699e-08
0.121,3.35331e-08
0.12,3.32413e-08
0.119,3.29174e-08
0.118,3.26256e-08
0.117,3.24758e-08
0.116,3.2074e-08
0.115,3.18531e-08
0.114,3.16393e-08
0.113,3.13555e-08
0.112,3.12756e-08
0.111,3.08268e-08
0.11,3.0676e-08
0.109,3.04712e-08
0.108,3.00691e-08
0.107,2.99266e-08
0.106,2.96034e-08
0.105,2.93901e-08
0.104,2.92083e-08
0.103,2.88615e-08
0.102,2.86164e-08
0.101,2.84275e-08
0.1,2.81117e-08
0.099,2.80559e-08
0.098,2.77091e-08
0.097,2.74482e-08
0.096,2.72744e-08
0.095,2.70136e-08
0.094,2.68087e-08
0.093,2.65949e-08
0.092,2.63431e-08
0.091,2.62943e-08
0.09,2.58614e-08
0.089,2.55926e-08
0.088,2.54588e-08
0.087,2.519e-08
0.086,2.50081e-08
0.085,2.47953e-08
0.084,2.45265e-08
0.083,2.43766e-08
0.082,2.41238e-08
0.081,2.395e-08
0.08,2.37292e-08
0.079,2.33663e-08
0.078,2.32635e-08
0.077,2.30267e-08
0.076,2.26798e-08
0.075,2.2592e-08
0.074,2.23082e-08
0.073,2.21674e-08
0.072,2.19505e-08
0.071,2.17037e-08
0.07,2.15369e-08
0.069,2.13501e-08
0.068,2.10632e-08
0.067,2.10164e-08
0.066,2.06696e-08
0.065,2.03927e-08
0.064,2.02559e-08
0.063,1.99891e-08
0.062,1.98323e-08
0.061,1.96554e-08
0.06,1.93386e-08
0.059,1.91718e-08
0.058,1.88649e-08
0.057,1.86381e-08
0.056,1.85513e-08
0.055,1.82045e-08
0.054,1.80776e-08
0.053,1.77708e-08
0.052,1.7494e-08
0.051,1.73872e-08
0.05,1.71503e-08
0.049,1.68635e-08
0.048,1.67067e-08
0.047,1.63998e-08
0.046,1.6323e-08
0.045,1.59162e-08
0.044,1.55794e-08
0.043,1.54425e-08
0.042,1.51757e-08
0.041,1.48889e-08
0.04,1.4732e-08
0.039,1.44152e-08
0.038,1.41784e-08
0.037,1.39116e-08
0.036,1.35247e-08
0.035,1.34279e-08
0.034,1.30711e-08
0.033,1.27743e-08
0.032,1.25674e-08
0.031,1.21206e-08
0.03,1.20338e-08
0.029,1.16169e-08
0.028,1.13501e-08
0.027,1.11033e-08
0.026,1.07065e-08
0.025,1.03696e-08
0.024,1.01728e-08
0.023,9.71598e-09
0.022,9.45915e-09
0.021,9.12232e-09
0.02,8.63549e-09
0.019,8.36867e-09
