"Potential, V","Current, A"
0.2,5.51362e-07
0.199,4.46022e-07
0.198,4.17172e-07
0.197,4.05532e-07
0.196,3.94582e-07
0.195,3.88352e-07
0.194,3.79966e-07
0.193,3.74457e-07
0.192,3.67876e-07
0.191,3.62382e-07
0.19,3.58062e-07
0.189,3.53512e-07
0.188,3.47612e-07
0.187,3.44672e-07
0.186,3.39372e-07
0.185,3.35942e-07
0.184,3.32182e-07
0.183,3.28412e-07
0.182,3.24942e-07
0.181,3.21832e-07
0.18,3.17162e-07
0.179,3.15062e-07
0.178,3.10872e-07
0.177,3.08602e-07
0.176,3.05592e-07
0.175,3.02062e-07
0.174,2.99542e-07
0.173,2.96522e-07
0.172,2.92732e-07
0.171,2.91762e-07
0.17,2.87802e-07
0.169,2.85852e-07
0.168,2.83172e-07
0.167,2.80102e-07
0.166,2.77732e-07
0.165,2.76042e-07
0.164,2.72662e-07
0.163,2.71962e-07
0.162,2.68062e-07
0.161,2.66362e-07
0.16,2.63962e-07
0.159,2.61562e-07
0.158,2.59762e-07
0.157,2.58262e-07
0.156,2.54662e-07
0.155,2.54362e-07
0.154,2.50662e-07
0.153,2.49662e-07
0.152,2.47562e-07
0.151,2.44962e-07
0.15,2.43462e-07
0.149,2.41762e-07
0.148,2.38162e-07
0.147,2.37762e-07
0.146,2.34262e-07
0.145,2.33462e-07
0.144,2.31662e-07
0.143,2.29162e-07
0.142,2.27762e-07
0.141,2.25762e-07
0.14,2.22362e-07
0.139,2.22962e-07
0.138,2.19962e-07
0.137,2.18862e-07
0.136,2.16362e-07
0.135,2.14562e-07
0.134,2.12562e-07
0.133,2.11862e-07
0.132,2.08562e-07
0.131,2.08462e-07
0.13,2.05762e-07
0.129,2.04362e-07
0.128,2.02362e-07
0.127,2.00562e-07
0.126,1.99162e-07
0.125,1.98062e-07
0.124,1.95862e-07
0.123,1.95262e-07
0.122,1.92362e-07
0.121,1.91662e-07
0.12,1.89462e-07
0.119,1.88262e-07
0.118,1.86862e-07
0.117,1.85662e-07
0.116,1.82562e-07
0.115,1.82162e-07
0.114,1.79762e-07
0.113,1.79062e-07
0.112,1.77062e-07
0.111,1.75962e-07
0.11,1.74162e-07
0.109,1.73262e-07
0.108,1.70262e-07
0.107,1.70062e-07
0.106,1.67762e-07
0.105,1.66962e-07
0.104,1.65262e-07
0.103,1.63262e-07
0.102,1.61462e-07
0.101,1.61162e-07
0.1,1.58662e-07
0.099,1.58662e-07
0.098,1.56462e-07
0.097,1.55362e-07
0.096,1.52962e-07
0.095,1.52162e-07
0.094,1.50562e-07
0.093,1.49862e-07
0.092,1.46962e-07
0.091,1.47262e-07
0.09,1.44362e-07
0.089,1.43562e-07
0.088,1.42262e-07
0.087,1.40962e-07
0.086,1.39762e-07
0.085,1.38262e-07
0.084,1.35862e-07
0.083,1.35662e-07
0.082,1.33362e-07
0.081,1.32362e-07
0.08,1.30962e-07
0.079,1.29362e-07
0.078,1.28162e-07
0.077,1.27062e-07
0.076,1.24862e-07
0.075,1.25262e-07
0.074,1.22762e-07
0.073,1.21762e-07
0.072,1.20262e-07
0.071,1.18662e-07
0.07,1.17062e-07
0.069,1.16462e-07
0.068,1.13562e-07
0.067,1.14162e-07
0.066,1.11662e-07
0.065,1.10562e-07
0.064,1.08862e-07
0.063,1.07562e-07
0.062,1.06762e-07
0.061,1.05662e-07
0.06,1.02662e-07
0.059,1.03462e-07
0.058,1.00362e-07
0.057,9.97624e-08
0.056,9.81624e-08
0.055,9.68624e-08
0.054,9.57624e-08
0.053,9.45624e-08
0.052,9.19624e-08
0.051,9.22624e-08
0.05,8.95624e-08
0.049,8.88624e-08
0.048,8.73624e-08
0.047,8.57624e-08
0.046,8.45624e-08
0.045,8.34624e-08
0.044,8.08624e-08
0.043,8.14624e-08
0.042,7.84624e-08
0.041,7.74624e-08
0.04,7.60624e-08
0.039,7.39624e-08
0.038,7.20624e-08
0.037,7.19624e-08
0.036,6.89624e-08
0.035,6.93624e-08
0.034,6.60624e-08
0.033,6.50624e-08
0.032,6.32624e-08
0.031,6.18624e-08
0.03,6.04624e-08
0.029,5.93624e-08
0.028,5.65624e-08
0.027,5.63624e-08
0.026,5.33624e-08
0.025,5.23624e-08
0.024,5.08624e-08
0.023,4.92624e-08
0.022,4.75624e-08
0.021,4.66624e-08
0.02,4.34624e-08
0.019,4.28624e-08
0.018,3.98624e-08
0.017,3.88624e-08
0.016,3.67624e-08
0.015,3.46624e-08
0.014,3.28624e-08
0.013,3.14624e-08
0.012,2.79624e-08
0.011,2.79624e-08
0.01,2.45624e-08
0.009,2.33624e-08
0.008,2.08624e-08
0.007,1.89624e-08
0.006,1.67624e-08
0.005,1.49624e-08
0.004,1.14624e-08
0.003,1.06624e-08
0.002,7.36237e-09
0.001,5.26237e-09
0.0,-8.37627e-10
-0.001,-9.37627e-10
-0.002,-2.83763e-09
-0.003,-4.53763e-09
-0.004,-8.23763e-09
-0.005,-9.43763e-09
-0.006,-1.35376e-08
-0.007,-1.56376e-08
-0.008,-1.88376e-08
-0.009,-2.15376e-08
-0.01,-2.48376e-08
-0.011,-2.73376e-08
-0.012,-3.15376e-08
-0.013,-3.39376e-08
-0.014,-3.78376e-08
-0.015,-4.05376e-08
-0.016,-4.43376e-08
-0.017,-4.79376e-08
-0.018,-5.16376e-08
-0.019,-5.55376e-08
-0.02,-6.04376e-08
-0.021,-6.27376e-08
-0.022,-6.82376e-08
-0.023,-7.16376e-08
-0.024,-7.62376e-08
-0.025,-8.08376e-08
-0.026,-8.62376e-08
-0.027,-9.00376e-08
-0.028,-9.61376e-08
-0.029,-9.93376e-08
-0.03,-1.06038e-07
-0.031,-1.10838e-07
-0.032,-1.17138e-07
-0.033,-1.22538e-07
-0.034,-1.28338e-07
-0.035,-1.33738e-07
-0.036,-1.41438e-07
-0.037,-1.46038e-07
-0.038,-1.54738e-07
-0.039,-1.60738e-07
-0.04,-1.68138e-07
-0.041,-1.75838e-07
-0.042,-1.83238e-07
-0.043,-1.90938e-07
-0.044,-2.00138e-07
-0.045,-2.06938e-07
-0.046,-2.17538e-07
-0.047,-2.25438e-07
-0.048,-2.35338e-07
-0.049,-2.44838e-07
-0.05,-2.55138e-07
-0.051,-2.64538e-07
-0.052,-2.77238e-07
-0.053,-2.86238e-07
-0.054,-2.99438e-07
-0.055,-3.10038e-07
-0.056,-3.23138e-07
-0.057,-3.35738e-07
-0.058,-3.49638e-07
-0.059,-3.62138e-07
-0.06,-3.77938e-07
-0.061,-3.90338e-07
-0.062,-4.07438e-07
-0.063,-4.22038e-07
-0.064,-4.40438e-07
-0.065,-4.56238e-07
-0.066,-4.74138e-07
-0.067,-4.90538e-07
-0.068,-5.11338e-07
-0.069,-5.28338e-07
-0.07,-5.50338e-07
-0.071,-5.70138e-07
-0.072,-5.92638e-07
-0.073,-6.14438e-07
-0.074,-6.37738e-07
-0.075,-6.60738e-07
-0.076,-6.88738e-07
-0.077,-7.10738e-07
-0.078,-7.38738e-07
-0.079,-7.64738e-07
-0.08,-7.94738e-07
-0.081,-8.23738e-07
-0.082,-8.54738e-07
-0.083,-8.85738e-07
-0.084,-9.20738e-07
-0.085,-9.51738e-07
-0.086,-9.89738e-07
-0.087,-1.02374e-06
-0.088,-1.06274e-06
-0.089,-1.10174e-06
-0.09,-1.14274e-06
-0.091,-1.18374e-06
-0.092,-1.22874e-06
-0.093,-1.27074e-06
-0.094,-1.31974e-06
-0.095,-1.36474e-06
-0.096,-1.41774e-06
-0.097,-1.46774e-06
-0.098,-1.52074e-06
-0.099,-1.57574e-06
-0.1,-1.63374e-06
-0.101,-1.68974e-06
-0.102,-1.75374e-06
-0.103,-1.81474e-06
-0.104,-1.87974e-06
-0.105,-1.94574e-06
-0.106,-2.01474e-06
-0.107,-2.08474e-06
-0.108,-2.15974e-06
-0.109,-2.23474e-06
-0.11,-2.31474e-06
-0.111,-2.39274e-06
-0.112,-2.47774e-06
-0.113,-2.56174e-06
-0.114,-2.64974e-06
-0.115,-2.74174e-06
-0.116,-2.83774e-06
-0.117,-2.93074e-06
-0.118,-3.03274e-06
-0.119,-3.13174e-06
-0.12,-3.23974e-06
-0.121,-3.34774e-06
-0.122,-3.45974e-06
-0.123,-3.57174e-06
-0.124,-3.69074e-06
-0.125,-3.80874e-06
-0.126,-3.93574e-06
-0.127,-4.05874e-06
-0.128,-4.19274e-06
-0.129,-4.32574e-06
-0.13,-4.46174e-06
-0.131,-4.60174e-06
-0.132,-4.74674e-06
-0.133,-4.88874e-06
-0.134,-5.04674e-06
-0.135,-5.19574e-06
-0.136,-5.35474e-06
-0.137,-5.51574e-06
-0.138,-5.67774e-06
-0.139,-5.84374e-06
-0.14,-6.01774e-06
-0.141,-6.19074e-06
-0.142,-6.37274e-06
-0.143,-6.54674e-06
-0.144,-6.73274e-06
-0.145,-6.91674e-06
-0.146,-7.10574e-06
-0.147,-7.29874e-06
-0.148,-7.49674e-06
-0.149,-7.68874e-06
-0.15,-7.89574e-06
-0.151,-8.09374e-06
-0.152,-8.30174e-06
-0.153,-8.50774e-06
-0.154,-8.71674e-06
-0.155,-8.92874e-06
-0.156,-9.14574e-06
-0.157,-9.35674e-06
-0.158,-9.57574e-06
-0.159,-9.79474e-06
-0.16,-1.00147e-05
-0.161,-1.02347e-05
-0.162,-1.04547e-05
-0.163,-1.06747e-05
-0.164,-1.08947e-05
-0.165,-1.11147e-05
-0.166,-1.13447e-05
-0.167,-1.15647e-05
-0.168,-1.17847e-05
-0.169,-1.20047e-05
-0.17,-1.22247e-05
-0.171,-1.24447e-05
-0.172,-1.26647e-05
-0.173,-1.28747e-05
-0.174,-1.30947e-05
-0.175,-1.32947e-05
-0.176,-1.35047e-05
-0.177,-1.37147e-05
-0.178,-1.39147e-05
-0.179,-1.41147e-05
-0.18,-1.43147e-05
-0.181,-1.44947e-05
-0.182,-1.46947e-05
-0.183,-1.48647e-05
-0.184,-1.50547e-05
-0.185,-1.52247e-05
-0.186,-1.53947e-05
-0.187,-1.55647e-05
-0.188,-1.57247e-05
-0.189,-1.58747e-05
-0.19,-1.60247e-05
