"Potential, V","Current, A"
0.2,6.43656e-07
0.199,5.12593e-07
0.198,4.93061e-07
0.197,4.81028e-07
0.196,4.62296e-07
0.195,4.54763e-07
0.194,4.46731e-07
0.193,4.38398e-07
0.192,4.28765e-07
0.191,4.21033e-07
0.19,4.143e-07
0.189,4.13568e-07
0.188,4.01335e-07
0.187,3.97803e-07
0.186,3.9317e-07
0.185,3.88438e-07
0.184,3.83805e-07
0.183,3.75973e-07
0.182,3.7274e-07
0.181,3.72008e-07
0.18,3.61475e-07
0.179,3.59243e-07
0.178,3.5821e-07
0.177,3.53978e-07
0.176,3.49445e-07
0.175,3.44512e-07
0.174,3.4228e-07
0.173,3.40247e-07
0.172,3.32315e-07
0.171,3.31282e-07
0.17,3.2945e-07
0.169,3.27117e-07
0.168,3.22685e-07
0.167,3.16052e-07
0.166,3.1502e-07
0.165,3.16287e-07
0.164,3.07355e-07
0.163,3.06222e-07
0.162,3.0579e-07
0.161,3.01357e-07
0.16,2.98925e-07
0.159,2.94292e-07
0.158,2.91759e-07
0.157,2.93627e-07
0.156,2.85094e-07
0.155,2.84562e-07
0.154,2.83129e-07
0.153,2.81297e-07
0.152,2.77864e-07
0.151,2.72132e-07
0.15,2.72099e-07
0.149,2.74667e-07
0.148,2.66134e-07
0.147,2.64102e-07
0.146,2.65269e-07
0.145,2.60737e-07
0.144,2.59804e-07
0.143,2.54771e-07
0.142,2.54539e-07
0.141,2.54306e-07
0.14,2.46474e-07
0.139,2.47841e-07
0.138,2.46909e-07
0.137,2.43876e-07
0.136,2.42544e-07
0.135,2.36611e-07
0.134,2.36779e-07
0.133,2.39446e-07
0.132,2.30114e-07
0.131,2.31181e-07
0.13,2.30449e-07
0.129,2.28116e-07
0.128,2.24484e-07
0.127,2.20651e-07
0.126,2.21018e-07
0.125,2.21486e-07
0.124,2.15153e-07
0.123,2.14121e-07
0.122,2.14588e-07
0.121,2.12756e-07
0.12,2.11423e-07
0.119,2.05791e-07
0.118,2.05758e-07
0.117,2.08226e-07
0.116,1.99193e-07
0.115,2.00061e-07
0.114,1.99828e-07
0.113,1.98196e-07
0.112,1.96463e-07
0.111,1.92331e-07
0.11,1.91298e-07
0.109,1.91465e-07
0.108,1.87133e-07
0.107,1.862e-07
0.106,1.86268e-07
0.105,1.84335e-07
0.104,1.81603e-07
