"Potential, V","Current, A"
0.2,1.04921e-06
0.199,6.35883e-07
0.198,5.99964e-07
0.197,5.64144e-07
0.196,5.46725e-07
0.195,5.26205e-07
0.194,5.14886e-07
0.193,4.97466e-07
0.192,4.95447e-07
0.191,4.74927e-07
0.19,4.78908e-07
0.189,4.55388e-07
0.188,4.53269e-07
0.187,4.45049e-07
0.186,4.3683e-07
0.185,4.2551e-07
0.184,4.35691e-07
0.183,4.18271e-07
0.182,4.19252e-07
0.181,4.07932e-07
0.18,3.96713e-07
0.179,4.00693e-07
0.178,3.83274e-07
0.177,3.87354e-07
0.176,3.79135e-07
0.175,3.80115e-07
0.174,3.71896e-07
0.173,3.69776e-07
0.172,3.55457e-07
0.171,3.62537e-07
0.17,3.42018e-07
0.169,3.55298e-07
0.168,3.47079e-07
0.167,3.48059e-07
0.166,3.3364e-07
0.165,3.3772e-07
0.164,3.26401e-07
0.163,3.30481e-07
0.162,3.16162e-07
0.161,3.23242e-07
0.16,3.15023e-07
0.159,3.16003e-07
0.158,3.10784e-07
0.157,3.11764e-07
0.156,2.94345e-07
0.155,3.04525e-07
0.154,2.93306e-07
0.153,2.94286e-07
0.152,2.95267e-07
0.151,2.90047e-07
0.15,2.88028e-07
0.149,2.85908e-07
0.148,2.77689e-07
0.147,2.75569e-07
0.146,2.7655e-07
0.145,2.6833e-07
0.144,2.78511e-07
0.143,2.61091e-07
0.142,2.71272e-07
0.141,2.56952e-07
0.14,2.54833e-07
0.139,2.52713e-07
0.138,2.53694e-07
0.137,2.45474e-07
0.136,2.55655e-07
0.135,2.38235e-07
0.134,2.51516e-07
0.133,2.37096e-07
0.132,2.38077e-07
0.131,2.32957e-07
0.13,2.33938e-07
0.129,2.25718e-07
0.128,2.32799e-07
0.127,2.24579e-07
0.126,2.3476e-07
0.125,2.1734e-07
0.124,2.21421e-07
0.123,2.13201e-07
0.122,2.14182e-07
0.121,2.05963e-07
0.12,2.19143e-07
0.119,2.04824e-07
0.118,2.15004e-07
0.117,2.03685e-07
0.116,2.01665e-07
0.115,1.99546e-07
0.114,1.97426e-07
0.113,1.98407e-07
0.112,1.96287e-07
0.111,1.94268e-07
0.11,1.92148e-07
0.109,1.90029e-07
0.108,1.78809e-07
0.107,1.8899e-07
0.106,1.7787e-07
0.105,1.84751e-07
0.104,1.73831e-07
0.103,1.80812e-07
0.102,1.69792e-07
0.101,1.73773e-07
0.1,1.61753e-07
0.099,1.75734e-07
0.098,1.54714e-07
0.097,1.67695e-07
0.096,1.56675e-07
0.095,1.63656e-07
0.094,1.58636e-07
0.093,1.62617e-07
0.092,1.45597e-07
0.091,1.55578e-07
0.09,1.41558e-07
0.089,1.48539e-07
0.088,1.46519e-07
0.087,1.505e-07
0.086,1.4548e-07
0.085,1.46461e-07
0.084,1.34441e-07
0.083,1.38422e-07
0.082,1.33402e-07
0.081,1.34383e-07
0.08,1.38363e-07
0.079,1.24344e-07
0.078,1.34324e-07
0.077,1.23305e-07
0.076,1.24285e-07
0.075,1.19266e-07
0.074,1.20246e-07
0.073,1.12227e-07
0.072,1.25207e-07
0.071,1.11188e-07
0.07,1.18168e-07
0.069,1.06149e-07
0.068,1.10129e-07
0.067,1.0511e-07
0.066,1.0609e-07
0.065,9.80706e-08
0.064,1.05051e-07
0.063,9.70316e-08
0.062,1.07012e-07
0.061,9.29926e-08
0.06,9.39731e-08
0.059,8.89536e-08
0.058,8.99341e-08
0.057,8.19146e-08
0.056,9.48951e-08
0.055,7.98756e-08
0.054,9.08561e-08
0.053,7.88366e-08
0.052,7.98171e-08
0.051,7.77976e-08
0.05,7.57781e-08
0.049,7.07586e-08
0.048,7.77391e-08
0.047,6.97196e-08
0.046,7.07001e-08
0.045,6.86806e-08
0.044,5.76611e-08
0.043,6.76416e-08
0.042,5.36221e-08
0.041,6.06026e-08
0.04,5.25831e-08
0.039,5.65636e-08
0.038,4.75441e-08
0.037,5.55246e-08
0.036,3.75051e-08
0.035,5.04856e-08
0.034,3.64661e-08
0.033,4.34466e-08
0.032,3.24271e-08
0.031,3.64076e-08
0.03,3.13881e-08
0.029,3.83686e-08
0.028,2.13491e-08
0.027,3.13296e-08
0.026,1.33101e-08
0.025,2.42906e-08
0.024,1.82711e-08
0.023,1.62516e-08
0.022,1.41768e-08
0.021,8.60886e-09
0.02,4.09267e-11
0.019,6.47299e-09
0.018,-5.09495e-09
0.017,-1.66288e-09
0.016,-1.23082e-09
0.015,-6.79876e-09
0.014,-6.36669e-09
0.013,-1.89346e-08
0.012,-2.15026e-08
0.011,-2.70705e-08
0.01,-2.66384e-08
0.009,-3.52064e-08
0.008,-2.87743e-08
0.007,-4.63422e-08
0.006,-3.69102e-08
0.005,-5.44781e-08
0.004,-5.10461e-08
0.003,-6.0614e-08
0.002,-6.01819e-08
0.001,-7.47499e-08
0.0,-8.03178e-08
-0.001,-8.28857e-08
-0.002,-7.34537e-08
-0.003,-9.10216e-08
-0.004,-8.75896e-08
-0.005,-1.00157e-07
-0.006,-9.97254e-08
-0.007,-1.14293e-07
-0.008,-1.01861e-07
-0.009,-1.22429e-07
-0.01,-1.12997e-07
-0.011,-1.33565e-07
-0.012,-1.33133e-07
-0.013,-1.45701e-07
-0.014,-1.45269e-07
-0.015,-1.56837e-07
-0.016,-1.53405e-07
