"Potential, V","Current, A"
0.2,7.467e-08
0.199,6.55408e-08
0.198,6.20915e-08
0.197,5.98722e-08
0.196,5.78629e-08
0.195,5.61436e-08
0.194,5.47643e-08
0.193,5.3525e-08
0.192,5.24057e-08
0.191,5.13465e-08
0.19,5.02572e-08
0.189,4.91979e-08
0.188,4.81086e-08
0.187,4.73893e-08
0.186,4.655e-08
0.185,4.57807e-08
0.184,4.49914e-08
0.183,4.41822e-08
0.182,4.33929e-08
0.181,4.27636e-08
0.18,4.19343e-08
0.179,4.1355e-08
0.178,4.08057e-08
0.177,4.01264e-08
0.176,3.95271e-08
0.175,3.86679e-08
0.174,3.82486e-08
0.173,3.76193e-08
0.172,3.717e-08
0.171,3.69207e-08
0.17,3.63614e-08
0.169,3.57721e-08
0.168,3.53928e-08
0.167,3.47336e-08
0.166,3.43443e-08
0.165,3.3935e-08
0.164,3.32957e-08
0.163,3.30164e-08
0.162,3.26471e-08
0.161,3.23678e-08
0.16,3.19385e-08
0.159,3.15793e-08
0.158,3.104e-08
0.157,3.08907e-08
0.156,3.03914e-08
0.155,3.00321e-08
0.154,2.97228e-08
0.153,2.95535e-08
0.152,2.91842e-08
0.151,2.8865e-08
0.15,2.86857e-08
0.149,2.85464e-08
0.148,2.82071e-08
0.147,2.80378e-08
0.146,2.74485e-08
0.145,2.74292e-08
0.144,2.714e-08
0.143,2.67207e-08
0.142,2.63214e-08
0.141,2.62221e-08
0.14,2.60028e-08
0.139,2.59435e-08
0.138,2.57242e-08
0.137,2.54249e-08
0.136,2.50457e-08
0.135,2.48364e-08
0.134,2.46271e-08
0.133,2.42978e-08
0.132,2.40985e-08
0.131,2.39592e-08
0.13,2.36899e-08
0.129,2.36906e-08
0.128,2.33714e-08
0.127,2.31721e-08
0.126,2.29328e-08
0.125,2.26735e-08
0.124,2.24742e-08
0.123,2.21549e-08
0.122,2.20556e-08
0.121,2.18263e-08
0.12,2.15171e-08
0.119,2.13178e-08
0.118,2.13185e-08
0.117,2.10592e-08
0.116,2.07999e-08
0.115,2.07106e-08
0.114,2.06013e-08
0.113,2.0312e-08
0.112,2.01728e-08
0.111,2.01535e-08
0.11,1.99142e-08
0.109,1.98849e-08
0.108,1.95756e-08
0.107,1.94863e-08
0.106,1.9337e-08
0.105,1.90377e-08
0.104,1.89185e-08
0.103,1.86292e-08
0.102,1.84799e-08
0.101,1.84506e-08
0.1,1.83613e-08
0.099,1.8212e-08
0.098,1.81327e-08
0.097,1.80534e-08
0.096,1.78342e-08
0.095,1.75549e-08
0.094,1.75856e-08
0.093,1.74463e-08
0.092,1.7337e-08
0.091,1.72577e-08
0.09,1.71084e-08
0.089,1.68991e-08
0.088,1.67199e-08
0.087,1.67106e-08
0.086,1.66013e-08
0.085,1.6642e-08
0.084,1.62527e-08
0.083,1.61534e-08
0.082,1.60041e-08
0.081,1.59949e-08
0.08,1.59056e-08
0.079,1.55763e-08
0.078,1.5637e-08
0.077,1.55377e-08
0.076,1.53084e-08
0.075,1.53791e-08
0.074,1.50898e-08
0.073,1.50906e-08
0.072,1.49713e-08
0.071,1.4972e-08
0.07,1.47527e-08
0.069,1.47034e-08
0.068,1.46341e-08
0.067,1.45048e-08
0.066,1.43555e-08
0.065,1.42263e-08
0.064,1.4087e-08
0.063,1.38277e-08
0.062,1.37684e-08
0.061,1.36691e-08
0.06,1.36698e-08
0.059,1.35005e-08
0.058,1.35012e-08
0.057,1.3422e-08
0.056,1.31527e-08
0.055,1.28834e-08
0.054,1.29841e-08
0.053,1.25048e-08
0.052,1.25355e-08
0.051,1.24162e-08
0.05,1.23769e-08
0.049,1.22977e-08
0.048,1.20584e-08
0.047,1.20491e-08
0.046,1.21098e-08
0.045,1.17305e-08
0.044,1.18812e-08
0.043,1.16919e-08
0.042,1.16326e-08
0.041,1.12934e-08
0.04,1.13141e-08
0.039,1.13248e-08
0.038,1.09555e-08
0.037,1.07062e-08
0.036,1.06969e-08
0.035,1.04876e-08
0.034,1.02683e-08
0.033,1.01891e-08
0.032,1.01098e-08
0.031,9.99049e-09
0.03,9.7512e-09
0.029,9.51191e-09
0.028,9.56262e-09
0.027,9.18334e-09
0.026,9.11405e-09
0.025,8.74476e-09
0.024,8.79547e-09
0.023,8.50619e-09
0.022,8.2969e-09
0.021,8.23761e-09
0.02,8.01833e-09
0.019,7.75404e-09
0.018,7.32775e-09
0.017,7.29546e-09
0.016,7.08302e-09
0.015,6.57125e-09
0.014,6.39747e-09
0.013,6.1367e-09
0.012,5.66392e-09
0.011,5.24615e-09
0.01,4.91538e-09
0.009,4.6546e-09
0.008,4.22983e-09
0.007,3.90606e-09
0.006,3.59028e-09
0.005,2.97651e-09
0.004,2.81873e-09
0.003,2.57396e-09
0.002,1.78619e-09
0.001,1.65941e-09
0.0,8.25638e-10
-0.001,5.01865e-10
-0.002,9.20908e-11
-0.003,-4.50883e-10
-0.004,-7.27057e-10
-0.005,-1.17613e-09
-0.006,-1.6723e-09
-0.007,-2.28678e-09
-0.008,-3.01055e-09
-0.009,-3.43633e-09
-0.01,-4.1361e-09
-0.011,-4.72687e-09
-0.012,-5.37265e-09
-0.013,-6.10442e-09
-0.014,-6.71019e-09
-0.015,-7.40297e-09
-0.016,-8.14274e-09
-0.017,-8.81952e-09
-0.018,-9.70129e-09
-0.019,-1.05661e-08
-0.02,-1.11448e-08
-0.021,-1.20546e-08
-0.022,-1.30744e-08
-0.023,-1.38242e-08
-0.024,-1.47239e-08
-0.025,-1.58237e-08
-0.026,-1.68235e-08
-0.027,-1.79733e-08
-0.028,-1.8973e-08
-0.029,-2.02228e-08
-0.03,-2.12826e-08
-0.031,-2.21723e-08
-0.032,-2.34321e-08
-0.033,-2.48119e-08
-0.034,-2.59717e-08
-0.035,-2.75914e-08
-0.036,-2.89012e-08
-0.037,-3.0291e-08
-0.038,-3.19408e-08
-0.039,-3.34805e-08
-0.04,-3.52203e-08
-0.041,-3.68601e-08
-0.042,-3.83399e-08
-0.043,-4.02596e-08
-0.044,-4.22494e-08
-0.045,-4.41992e-08
-0.046,-4.6019e-08
-0.047,-4.81887e-08
-0.048,-5.03785e-08
-0.049,-5.25683e-08
-0.05,-5.47181e-08
-0.051,-5.73878e-08
-0.052,-5.98476e-08
-0.053,-6.22874e-08
-0.054,-6.49271e-08
-0.055,-6.74769e-08
-0.056,-7.06067e-08
-0.057,-7.36765e-08
-0.058,-7.64562e-08
-0.059,-7.9786e-08
-0.06,-8.32658e-08
-0.061,-8.67356e-08
-0.062,-9.03153e-08
-0.063,-9.38151e-08
-0.064,-9.73749e-08
-0.065,-1.01565e-07
-0.066,-1.05634e-07
-0.067,-1.09604e-07
-0.068,-1.13874e-07
-0.069,-1.18344e-07
-0.07,-1.23314e-07
-0.071,-1.27983e-07
-0.072,-1.32953e-07
-0.073,-1.38823e-07
-0.074,-1.44093e-07
-0.075,-1.49862e-07
-0.076,-1.55732e-07
-0.077,-1.61702e-07
-0.078,-1.68472e-07
-0.079,-1.74941e-07
-0.08,-1.81511e-07
-0.081,-1.88481e-07
-0.082,-1.95751e-07
-0.083,-2.03621e-07
-0.084,-2.1149e-07
-0.085,-2.1956e-07
-0.086,-2.2833e-07
-0.087,-2.37e-07
-0.088,-2.46269e-07
-0.089,-2.55539e-07
-0.09,-2.65309e-07
-0.091,-2.75479e-07
-0.092,-2.85949e-07
-0.093,-2.96218e-07
-0.094,-3.07988e-07
-0.095,-3.19358e-07
-0.096,-3.31728e-07
-0.097,-3.44397e-07
-0.098,-3.56867e-07
-0.099,-3.70537e-07
-0.1,-3.84207e-07
-0.101,-3.98277e-07
-0.102,-4.13246e-07
-0.103,-4.29016e-07
-0.104,-4.44586e-07
-0.105,-4.60856e-07
-0.106,-4.77325e-07
-0.107,-4.94695e-07
-0.108,-5.12165e-07
-0.109,-5.31035e-07
-0.11,-5.50604e-07
-0.111,-5.69874e-07
-0.112,-5.90144e-07
-0.113,-6.11214e-07
-0.114,-6.32584e-07
-0.115,-6.55953e-07
-0.116,-6.78823e-07
-0.117,-7.02093e-07
-0.118,-7.26963e-07
-0.119,-7.51732e-07
-0.12,-7.77902e-07
-0.121,-8.05272e-07
